,id,day,aggCodes,nObs,meanAge,sex,weight,neutered,sourceType,site,total_days
1,1,2,1,6,3.054681929,Female,4.5,On Site,Stray,Old Windsor,24
2,1,3,1,6,3.054681929,Female,4.5,On Site,Stray,Old Windsor,24
3,1,11,1,6,3.054681929,Female,4.5,On Site,Stray,Old Windsor,24
4,1,14,1,6,3.054681929,Female,4.5,On Site,Stray,Old Windsor,24
5,1,19,1,6,3.054681929,Female,4.5,On Site,Stray,Old Windsor,24
6,1,24,1,6,3.054681929,Female,4.5,On Site,Stray,Old Windsor,24
7,2,0,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
8,2,3,2,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
9,2,4,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
10,2,9,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
11,2,10,2,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
12,2,17,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
13,2,18,5,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
14,2,21,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
15,2,23,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
16,2,27,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
17,2,28,1,11,6.157298063,Female,39.5,On Site,Gift,Old Windsor,111
18,3,0,1,2,3.975370422,Female,24.5,On Site,Gift,Battersea,9
19,3,7,5,2,3.975370422,Female,24.5,On Site,Gift,Battersea,9
20,4,1,6,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
21,4,4,1,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
22,4,7,2,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
23,4,9,1,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
24,4,10,1,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
25,4,12,1,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
26,4,23,1,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
27,4,27,1,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
28,4,28,1,9,2.173035328,Male,7.4,On Site,Gift,Battersea,52
29,5,0,2,9,4.091392896,Male,26,On Site,Stray,Old Windsor,97
30,5,5,1,9,4.091392896,Male,26,On Site,Stray,Old Windsor,97
31,5,7,2,9,4.091392896,Male,26,On Site,Stray,Old Windsor,97
32,5,8,6,9,4.091392896,Male,26,On Site,Stray,Old Windsor,97
33,5,12,2,9,4.091392896,Male,26,On Site,Stray,Old Windsor,97
34,5,19,2,9,4.091392896,Male,26,On Site,Stray,Old Windsor,97
