id,food1,interacting_people1,outKennel1,kennel1,toys1,food2,dogs1,handling1,toys2,outKennel2,kennel2,dogs2,handling2,interacting_people2
1,RE,EX,UN,RPNA,PL,NM,FOC,ST,PL+,RDNA,RDA,UAV,ST+,RPA
2,PL,EX,UN,RPNA,PL,NM,FOC,SUB+,PL+,FOC,RDA,IN,UST,RPNA
3,RE,RPNA,UN,VO,PL,RE,FOC,RE,OS,EX,RDA,FR,ST,RPNA
4,RE,RPNA,UN,RPNA,PL,NM,FOC,RE,OS,RDA,RDA,FR,ST,RPNA
5,NM,RPNA,UN,VO,PL,NM,FOC,RE,PL+,FOC,RDNA,IN,ST,RPA
6,RE,EX,UN,RPNA,PL,NEM,FOC,ST,OB,FOC,RDNA,IN,ST,EX 
7,NM,RPNA,UN,RPNA,PL,NM,FOC,RE,OB,ST+,RDA,IN,ST,RPA
8,RE,RPNA,UN,VO,PL,NM,FR,RE,OB,FOC,RDNA,IN,ST,RPA
9,RE,RPNA,UN,RDNA,PL,NM,FOC,RE,OS,FOC,RDNA,UAV,ST,RPA
10,NM,RPNA,UN,ST,PL,NM,FOC,ST,OB,FOC,RDA,UAV,ST,RPA
11,RE,ST+,UN,VO,PL,RE,FOC,RE,PL,FOC,RDNA,IN,ST,RPNA
12,RE,RPNA,UN,VO,PL,UAV,PL,ST,OB,EX,RDA,UAP,ST,RPNA
13,RE,RPNA,UN,RPNA,RE,NM,RDNA,ST,PL+,FOC,RDA,IN,ST+,RPNA
14,RE,RPNA,UN,RPNA,PL,NM,FOC,ST,OB,FOC,RPA,IN,ST,RPNA
15,RE,EX,UN,VO,PL,NEM,FOC,RE,PL+,FOC,RDNA,IN,ST,RPNA
16,RE,RPNA,UN,RPNA,PL,NM,FOC,ST,PL,FOC,RDNA,IN,ST,RPNA
17,RE,RPNA,UN,RPNA,PL,NEM,RDNA,ST,OB,FOC,RDA,IN,ST,RPA
18,RE,RPNA,UN,RPNA,PL,NM,FOC,RE,OB,EX,RDNA,IN,ST,RPNA
19,NM,RPNA,UN,RE,PL,NM,FR,RE,PL+,FOC,RDNA,FR,ST,RPA
20,RE,RPNA,UN,RE,PL,NEM,FOC,ST,PL,EX,RDNA,IN,ST,RPNA
21,RE,RPNA,UN,VO,PL,NM,FOC,EX,PL,FOC,RDNA,IN,ST+,RPNA
22,RE,RPNA,UN,RE,PL,NM,FOC,RE,PL,FOC,RDA,IN,ST,RPA
23,RE,RPNA,UN,RPNA,PL,NM,FOC,ST,OS,EX,RDA,IN,ST+,RPA
24,RE,RPNA,UN,RDNA,PL,NM,FOC,RE,OB,FOC,RDA,IN,ST,RPA
25,RE,RPNA,UN,RE,PL,NM,FOC,RE,PL+,FOC,ST+,IN,ST,RPNA
26,RE,UAV,UN,VO,PL,NM,FOC,RE,PL+,VO,RDNA,IN,ST,RPNA
27,RE,EX,UN,RPNA,PL,NEM,FOC,RE,PL+,FOC,RDA,IN,ST,RPA
28,RE,RPNA,UN,RPNA,PL,NEM,FOC,ST,OB,FOC,RDNA,IN,ST,RPA
29,NET,RPNA,UN,RE,PL,NEM,FOC,RE,PL+,FOC,RDA,UAV,ST+,RPA
30,RE,EX,UN,RPNA,PL,NM,FOC,RE,OB,FOC,RDA,IN,ST,RPA
31,NET,EX,UN,RPNA,PL,NM,FOC,RE,OB,FOC,RDA,IN,ST,RPA
32,NET,RPNA,UN,RPNA,PL,NM,FOC,ST,PL+,EX,RDA,IN,ST,RPA
33,RE,RPNA,UN,ST,PL,NEM,FOC,RE,OB,EX,RDNA,IN,ST,RPA
34,RE,RPNA,UN,RPNA,PL,NM,FOC,ST,PL,FOC,RDA,IN,ST,RPA
35,RE,RPNA,UN,RPNA,PL,NM,FOC,RE,PL+,FOC,RDA,UAV,ST,RPA
36,RE,RPNA,UN,RPNA,PL,NEM,FOC,RE,PL+,RDNA,RDA,IN,UST,RPA
37,RE,RPNA,UN,VO,PL,NEM,FOC,RE,PL+,FOC,RDA,IN,ST,RPA
38,UAV,RPNA,UN,RPNA,PL,UAV,FOC,ST,PL+,FOC,RDNA,IN,ST+,UAP
39,RE,RPNA,UN,VO,PL,NM,FOC,RE,OB,FOC,RDA,IN,UST,RPA
40,RE,RPNA,UN,RPNA,PL,NEM,FOC,EX,OS,FOC,RDNA,IN,ST+,RPA
41,RE,RPNA,UN,RPNA,FOC,RE,PL,NM,PL+,FOC,RDA,IN,ST,RPA
42,RE,RPNA,UN,RPNA,PL,NM,FOC,UST,PL+,FOC,RDNA,IN,ST,RPNA
43,RE,RPNA,UN,VO,PL,RE,FOC,UST,PL+,RDNA,RDNA,IN,ST,RPA
44,RE,RPNA,UN,RPNA,PL,NM,FOC,RE,PL+,FOC,RDNA,IN,ST,RPNA
45,RE,EX,UN,RPNA,PL,NEM,FOC,ST,PL+,FOC,RDA,IN,ST+,RPA
46,RE,RPNA,UN,VO,PL,NM,FOC,RE,PL+,FOC,RDNA,IN,ST,RPNA
47,RE,FR,UN,RE,PL,NM,FOC,RE,OB,ST+,RDNA,UAV,ST,RPNA
48,RE,RPNA,UN,ST,PL,NM,FOC,ST,OB,EX,RDNA,IN,ST,RPA
49,NET,RPNA,UN,RPNA,PL,NEM,FOC,ST,PL+,FOC,RDNA,IN,ST,RPNA
50,RE,RPNA,RE,RPNA,PL,NM,FOC,RE,PL,FOC,RDA,IN,ST,RPNA
51,RE,RPNA,UN,RPNA,PL,NM,FOC,ST,PL+,FOC,RDA,UAV,ST,RPA
52,RE,RPNA,RE,RDA,PL,RE,PL,ST,PL+,RDNA,ST+,UAV,ST+,RPA
53,NET,EX,UN,RE,PL,NEM,CH,RE,PL+,RDNA,RDNA,IN,ST,UAP
54,NET,RPNA,UN,RPNA,PL,UAV,FOC,RE,PL+,FOC,RDA,IN,ST+,RPA
55,RE,RPNA,UN,RE,PL,NM,FOC,UAV,OS,FOC,RDNA,IN,UST,RPNA
56,RE,ST+,UN,RPNA,PL,NM,FOC,ST,OS,EX,RDNA,IN,ST+,RPNA
57,RE,RPNA,UN,ST,PL,NEM,FOC,RE,PL+,FOC,RDNA,IN,ST,RPNA
58,RE,EX,UN,RPNA,PL,NEM,FOC,ST,OS,ST+,RDA,IN,ST+,RPNA
59,NET,RPNA,UN,RPNA,PL,RE,FOC,RE,OS,RDNA,RDA,IN,ST,RPNA
60,RE,EX,UN,VO,PL,NEM,PL,RE,PL,FOC,RDA,FR,ST,RPA
61,RE,RPNA,UN,VO,PL,NM,FR,RE,PL+,FOC,RDNA,IN,ST,RPNA
62,RE,RPNA,UN,RPNA,PL,NM,FOC,RE,OB,FOC,RDNA,IN,ST+,RPA
63,RE,ST+,UN,ST,PL,NM,FOC,RE,PL+,EX,RDNA,IN,ST,RPNA
64,RE,EX,UN,RPNA,PL,NM,FOC,RE,PL+,RPNA,RDNA,IN,ST,RPA
65,RE,UAV,UN,ST,PL,NEM,FOC,ST,OB,FOC,RDNA,IN,ST,RPNA
66,RE,RPNA,UN,RPNA,PL,NEM,FOC,RE,OB,FOC,RDA,IN,ST,RPNA
67,RE,RPNA,UN,RPNA,PL,NEM,FOC,RE,PL+,RDNA,RDA,IN,ST,RPA
68,RE,RPNA,UN,RPNA,PL,NEM,FOC,RE,PL+,FOC,RDA,IN,ST,RPNA
69,RE,RPNA,UN,RPNA,PL,NM,FOC,RE,PL,FOC,RDNA,IN,ST,RPA
70,RE,RPNA,UN,RPNA,NA,NA,NA,NA,PL+,FOC,RDNA,FR,ST,RPNA
71,NM,EX,UN,RPNA,PL,NM,FOC,RE,PL+,FOC,RDA,IN,ST,RPA
72,RE,RPNA,UN,RPNA,PL,NM,PL,ST,OS,FOC,RDA,IN,ST,RPNA
73,RE,EX,UN,RPNA,PL,NM,FOC,ST,PL+,FOC,RDNA,IN,ST,UAP
74,NM,RPNA,UN,RPNA,PL,NM,FOC,ST,PL,FOC,RDA,IN,UAV,RPA
75,RE,EX,UN,RPNA,PL,UAP,RDNA,RE,PL+,FOC,RDA,IN,ST,RPNA
76,RE,RPNA,UN,ST,PL,NM,RDNA,RE,PL+,RDNA,RDA,IN,ST,RPA
77,RE,RPNA,UN,VO,PL,NM,FOC,RE,OS,FOC,RDA,IN,ST,RPNA
78,NET,RPNA,UN,VO,PL,NM,FOC,SUB ,PL+,EX,RDA,IN,ST+,RPNA
79,RE,RPNA,UN,RE,PL,RE,FOC,RE,PL,FOC,RDNA,IN,ST,RPNA
