Inference for Stan model: Stan_model_PPP_quadratic.
4 chains, each with iter=5000; warmup=2500; thin=1; 
post-warmup draws per chain=2500, total post-warmup draws=10000.

                 mean se_mean     sd    2.5%   97.5% n_eff   Rhat
alpha          0.6839  0.0015 0.0908  0.5064  0.8622  3634 1.0004
beta_day[1]   -0.6313  0.0011 0.0694 -0.7660 -0.4977  4266 1.0006
beta_day[2]    0.2017  0.0008 0.0510  0.1004  0.3011  3980 1.0008
sigmaID[1]     1.2933  0.0012 0.0572  1.1839  1.4051  2365 1.0002
sigmaID[2]     0.5638  0.0013 0.0461  0.4737  0.6561  1261 1.0019
sigmaID[3]     0.2764  0.0012 0.0368  0.2038  0.3491   953 1.0055
sigmaID[4]     0.5830  0.0006 0.0242  0.5359  0.6308  1741 1.0006
Rho[1,1]       1.0000  0.0000 0.0000  1.0000  1.0000 10000    NaN
Rho[1,2]       0.3760  0.0011 0.0657  0.2448  0.4998  3878 1.0012
Rho[1,3]      -0.5439  0.0013 0.0753 -0.6831 -0.3872  3463 1.0003
Rho[1,4]       0.0013  0.0012 0.0499 -0.0969  0.1009  1597 1.0025
Rho[2,1]       0.3760  0.0011 0.0657  0.2448  0.4998  3878 1.0012
Rho[2,2]       1.0000  0.0000 0.0000  1.0000  1.0000 10000 0.9996
Rho[2,3]      -0.7512  0.0033 0.0736 -0.8751 -0.5866   495 1.0057
Rho[2,4]      -0.3697  0.0033 0.0736 -0.5135 -0.2225   510 1.0054
Rho[3,1]      -0.5439  0.0013 0.0753 -0.6831 -0.3872  3463 1.0003
Rho[3,2]      -0.7512  0.0033 0.0736 -0.8751 -0.5866   495 1.0057
Rho[3,3]       1.0000  0.0000 0.0000  1.0000  1.0000 10000 0.9996
Rho[3,4]       0.2380  0.0054 0.0939  0.0529  0.4200   307 1.0072
Rho[4,1]       0.0013  0.0012 0.0499 -0.0969  0.1009  1597 1.0025
Rho[4,2]      -0.3697  0.0033 0.0736 -0.5135 -0.2225   510 1.0054
Rho[4,3]       0.2380  0.0054 0.0939  0.0529  0.4200   307 1.0072
Rho[4,4]       1.0000  0.0000 0.0000  1.0000  1.0000  9281 0.9996
L_Rho[1,1]     1.0000  0.0000 0.0000  1.0000  1.0000 10000    NaN
L_Rho[1,2]     0.0000  0.0000 0.0000  0.0000  0.0000 10000    NaN
L_Rho[1,3]     0.0000  0.0000 0.0000  0.0000  0.0000 10000    NaN
L_Rho[1,4]     0.0000  0.0000 0.0000  0.0000  0.0000 10000    NaN
L_Rho[2,1]     0.3760  0.0011 0.0657  0.2448  0.4998  3878 1.0012
L_Rho[2,2]     0.9239  0.0004 0.0268  0.8661  0.9696  3905 1.0011
L_Rho[2,3]     0.0000  0.0000 0.0000  0.0000  0.0000 10000    NaN
L_Rho[2,4]     0.0000  0.0000 0.0000  0.0000  0.0000 10000    NaN
L_Rho[3,1]    -0.5439  0.0013 0.0753 -0.6831 -0.3872  3463 1.0003
L_Rho[3,2]    -0.5882  0.0035 0.0850 -0.7389 -0.4051   585 1.0053
L_Rho[3,3]     0.5818  0.0034 0.0824  0.4159  0.7382   589 1.0060
L_Rho[3,4]     0.0000  0.0000 0.0000  0.0000  0.0000 10000    NaN
L_Rho[4,1]     0.0013  0.0012 0.0499 -0.0969  0.1009  1597 1.0025
L_Rho[4,2]    -0.4004  0.0034 0.0755 -0.5522 -0.2523   485 1.0060
L_Rho[4,3]     0.0013  0.0099 0.1329 -0.2545  0.2604   181 1.0159
L_Rho[4,4]     0.9014  0.0019 0.0362  0.8196  0.9614   371 1.0092
Beta1[1]       0.1222  0.0007 0.0455  0.0330  0.2118  3816 1.0003
Beta1[2]       0.0395  0.0006 0.0408 -0.0408  0.1198  5262 1.0006
Beta1[3]      -0.6085  0.0008 0.0504 -0.7105 -0.5113  4461 1.0002
Beta1[4]      -0.0360  0.0006 0.0395 -0.1129  0.0413  5121 1.0008
Beta1[5]       0.0248  0.0005 0.0372 -0.0489  0.0980  4609 1.0000
Beta1[6]       0.2043  0.0008 0.0544  0.0998  0.3120  4154 1.0001
Beta1[7]      -0.0799  0.0011 0.0806 -0.2425  0.0763  5166 0.9999
Beta1[8]      -0.1148  0.0008 0.0539 -0.2215 -0.0103  4108 0.9999
Beta1[9]       0.1821  0.0010 0.0684  0.0493  0.3170  4772 1.0003
Beta1[10]     -0.3299  0.0013 0.0854 -0.4992 -0.1675  4068 1.0013
Beta1[11]      0.0499  0.0012 0.1164 -0.1847  0.2781 10000 0.9997
Beta1[12]     -0.1311  0.0012 0.0856 -0.2977  0.0310  5141 1.0002
Beta2[1]      -0.0610  0.0004 0.0335 -0.1264  0.0052  5963 1.0005
Beta2[2]      -0.0061  0.0004 0.0305 -0.0662  0.0531  7027 0.9998
Beta2[3]      -0.1951  0.0005 0.0363 -0.2658 -0.1260  5322 1.0002
Beta2[4]       0.0353  0.0004 0.0307 -0.0248  0.0971  6835 1.0001
Beta2[5]       0.0399  0.0004 0.0277 -0.0149  0.0937  6248 1.0001
Beta2[6]      -0.1095  0.0006 0.0411 -0.1913 -0.0286  5361 1.0003
